"state_no_vec","z","z_true","pr_post"
"4639 4735 4737","36 47","4737","0.0416 0.1665 0.7919"
"4538 4539 4540 4635 4637 4638 4640 4642 4734 4736 4738 4739 4740 4743 4835 4837 4839","21 52","4839","0.0002 0.0090 0.0003 0.0734 0.1124 0.0312 0.0069 0.0001 0.0254 0.1649 0.4001 0.0058 0.0002 0.0001 0.0890 0.0809 0.0002"
"4439 4535 4537 4538 4540 4634 4636 4637 4638 4639 4640 4641 4733 4735 4737 4738 4739 4740 4834 4836 4837 4838 4839 4935 4937","16 57","4738","0.0024 0.0215 0.0043 0.0079 0.0010 0.0049 0.0610 0.0071 0.0511 0.0288 0.0001 0.0005 0.0143 0.1619 0.3102 0.0009 0.1104 0.0013 0.0267 0.0168 0.0170 0.0749 0.0154 0.0416 0.0182"
"4435 4437 4438 4439 4440 4534 4535 4536 4537 4538 4539 4540 4633 4635 4636 4637 4638 4639 4640 4642 4732 4734 4735 4736 4737 4738 4739 4740 4833 4835 4836 4837 4838 4839 4840 4934 4935 4936 4937 4939 5035 5037 5341","78 45","4737","0.0090 0.0027 0.0021 0.0006 0.0006 0.0004 0.0016 0.0058 0.0010 0.0107 0.0163 0.0005 0.0031 0.0795 0.0024 0.0981 0.0272 0.0886 0.0111 0.0006 0.0029 0.0215 0.0016 0.0629 0.0068 0.2240 0.0155 0.0127 0.0021 0.0820 0.0027 0.0735 0.0086 0.0643 0.0007 0.0025 0.0014 0.0075 0.0032 0.0091 0.0118 0.0124 0.0084"
"4237 4335 4337 4338 4434 4435 4436 4437 4438 4439 4440 4534 4535 4536 4537 4538 4539 4540 4632 4634 4635 4636 4637 4638 4639 4640 4641 4642 4643 4731 4733 4735 4736 4737 4738 4739 4740 4741 4743 4832 4834 4835 4836 4837 4838 4839 4840 4935 4936 4937 4938 4939 4940 5034 5035 5036 5037 5038 5039 5137 5341 5441","42 36","4738","0.0005 0.0014 0.0003 0.0014 0.0015 0.0013 0.0057 0.0010 0.0044 0.0137 0.0003 0.0002 0.0324 0.0003 0.0070 0.0141 0.0473 0.0062 0.0031 0.0034 0.0018 0.0591 0.0105 0.0863 0.0478 0.0341 0.0022 0.0007 0.0004 0.0012 0.0064 0.0794 0.0021 0.1632 0.0085 0.1350 0.0048 0.0021 0.0007 0.0001 0.0118 0.0012 0.0153 0.0131 0.0544 0.0189 0.0055 0.0245 0.0008 0.0106 0.0003 0.0271 0.0011 0.0003 0.0003 0.0041 0.0015 0.0012 0.0043 0.0060 0.0006 0.0051"
"4237 4238 4334 4335 4336 4337 4338 4339 4433 4434 4435 4436 4437 4438 4439 4440 4532 4534 4535 4536 4537 4538 4539 4540 4541 4631 4633 4635 4636 4637 4638 4639 4640 4641 4642 4643 4732 4734 4735 4736 4737 4738 4739 4740 4741 4742 4743 4744 4831 4833 4834 4835 4836 4837 4838 4839 4840 4934 4935 4936 4937 4938 4939 4940 5033 5035 5036 5037 5038 5039 5040 5136 5137 5138 5139 5141 5236 5237 5341 5440 5441 5838","21 48","4737","0.0004 0.0008 0.0002 0.0002 0.0015 0.0003 0.0018 0.0013 0.0009 0.0003 0.0233 0.0008 0.0068 0.0076 0.0199 0.0020 0.0015 0.0010 0.0037 0.0071 0.0019 0.0187 0.0231 0.0078 0.0002 0.0016 0.0044 0.0783 0.0052 0.0860 0.0256 0.1230 0.0143 0.0034 0.0010 0.0003 0.0033 0.0191 0.0034 0.0438 0.0109 0.1234 0.0194 0.0179 0.0008 0.0006 0.0002 0.0001 0.0021 0.0022 0.0002 0.0639 0.0032 0.0512 0.0074 0.0604 0.0021 0.0022 0.0028 0.0082 0.0027 0.0011 0.0097 0.0042 0.0004 0.0126 0.0003 0.0132 0.0008 0.0150 0.0010 0.0021 0.0012 0.0002 0.0015 0.0002 0.0004 0.0004 0.0063 0.0012 0.0004 0.0001"
"4038 4138 4139 4236 4237 4238 4239 4333 4335 4336 4337 4338 4339 4340 4433 4434 4435 4436 4437 4438 4439 4440 4441 4530 4531 4533 4534 4535 4536 4537 4538 4539 4540 4541 4632 4634 4635 4636 4637 4638 4639 4640 4641 4642 4643 4644 4731 4733 4734 4735 4736 4737 4738 4739 4740 4741 4742 4743 4830 4832 4834 4835 4836 4837 4838 4839 4840 4933 4934 4935 4936 4937 4938 4939 4940 4941 5034 5035 5036 5037 5038 5039 5040 5041 5136 5137 5138 5139 5140 5236 5237 5239 5341 5439 5440 5441 5838","41 30","4638","0.0001 0.0002 0.0002 0.0003 0.0015 0.0017 0.0005 0.0001 0.0032 0.0008 0.0016 0.0055 0.0032 0.0006 0.0005 0.0039 0.0031 0.0117 0.0023 0.0187 0.0202 0.0044 0.0010 0.0003 0.0004 0.0011 0.0005 0.0356 0.0007 0.0070 0.0133 0.0691 0.0081 0.0004 0.0044 0.0033 0.0040 0.0527 0.0121 0.0835 0.0489 0.0490 0.0028 0.0029 0.0006 0.0001 0.0022 0.0060 0.0004 0.0662 0.0031 0.0986 0.0111 0.0990 0.0070 0.0033 0.0005 0.0011 0.0006 0.0009 0.0105 0.0028 0.0137 0.0099 0.0365 0.0168 0.0086 0.0001 0.0001 0.0233 0.0011 0.0085 0.0004 0.0325 0.0034 0.0001 0.0004 0.0008 0.0057 0.0025 0.0034 0.0058 0.0041 0.0003 0.0003 0.0079 0.0001 0.0051 0.0002 0.0008 0.0001 0.0006 0.0009 0.0009 0.0001 0.0051 0.0001"
"4038 4138 4139 4236 4237 4238 4239 4240 4334 4335 4336 4337 4338 4339 4340 4341 4433 4434 4435 4436 4437 4438 4439 4440 4441 4442 4530 4532 4533 4534 4535 4536 4537 4538 4539 4540 4541 4630 4631 4633 4634 4635 4636 4637 4638 4639 4640 4641 4642 4643 4644 4732 4733 4734 4735 4736 4737 4738 4739 4740 4741 4742 4743 4744 4829 4831 4833 4834 4835 4836 4837 4838 4839 4840 4841 4929 4934 4935 4936 4937 4938 4939 4940 4941 5033 5035 5036 5037 5038 5039 5040 5041 5136 5137 5138 5139 5140 5141 5236 5237 5239 5336 5339 5341 5440 5441 5539 5743 5838 5840","53 99","4639","0.0001 0.0003 0.0002 0.0002 0.0015 0.0029 0.0006 0.0002 0.0004 0.0004 0.0029 0.0012 0.0089 0.0029 0.0008 0.0001 0.0018 0.0006 0.0230 0.0017 0.0096 0.0121 0.0385 0.0035 0.0015 0.0004 0.0001 0.0017 0.0002 0.0009 0.0040 0.0055 0.0019 0.0212 0.0289 0.0154 0.0006 0.0002 0.0012 0.0030 0.0002 0.0533 0.0056 0.0656 0.0247 0.1386 0.0199 0.0077 0.0018 0.0017 0.0002 0.0017 0.0001 0.0112 0.0043 0.0248 0.0108 0.0816 0.0227 0.0242 0.0019 0.0014 0.0006 0.0003 0.0001 0.0022 0.0021 0.0004 0.0442 0.0029 0.0342 0.0069 0.0578 0.0045 0.0003 0.0002 0.0015 0.0031 0.0070 0.0022 0.0019 0.0120 0.0118 0.0003 0.0004 0.0117 0.0009 0.0158 0.0015 0.0271 0.0039 0.0015 0.0035 0.0025 0.0009 0.0035 0.0010 0.0008 0.0009 0.0008 0.0035 0.0002 0.0009 0.0106 0.0026 0.0014 0.0009 0.0003 0.0008 0.0002"
"4038 4137 4138 4139 4234 4236 4237 4238 4239 4240 4333 4334 4335 4336 4337 4338 4339 4340 4341 4433 4434 4435 4436 4437 4438 4439 4440 4441 4442 4530 4531 4532 4533 4534 4535 4536 4537 4538 4539 4540 4541 4630 4631 4632 4634 4635 4636 4637 4638 4639 4640 4641 4642 4643 4644 4645 4731 4733 4734 4735 4736 4737 4738 4739 4740 4741 4742 4743 4744 4745 4830 4832 4834 4835 4836 4837 4838 4839 4840 4841 4842 4929 4933 4934 4935 4936 4937 4938 4939 4940 4941 4942 5034 5035 5036 5037 5038 5039 5040 5041 5136 5137 5138 5139 5140 5141 5142 5236 5237 5238 5239 5240 5241 5336 5337 5339 5341 5436 5439 5440 5441 5538 5540 5743 5744 5837 5838 5839 5840 5938","27 22","4739","0.0003 0.0001 0.0008 0.0005 0.0002 0.0008 0.0035 0.0068 0.0011 0.0003 0.0004 0.0001 0.0041 0.0015 0.0040 0.0096 0.0070 0.0010 0.0002 0.0010 0.0056 0.0048 0.0138 0.0033 0.0320 0.0241 0.0077 0.0020 0.0007 0.0004 0.0007 0.0001 0.0023 0.0006 0.0331 0.0010 0.0068 0.0126 0.0764 0.0089 0.0012 0.0001 0.0002 0.0045 0.0028 0.0057 0.0431 0.0127 0.0724 0.0483 0.0508 0.0033 0.0045 0.0010 0.0005 0.0001 0.0021 0.0054 0.0007 0.0533 0.0037 0.0665 0.0112 0.0770 0.0085 0.0039 0.0008 0.0014 0.0002 0.0001 0.0012 0.0014 0.0094 0.0040 0.0118 0.0084 0.0251 0.0153 0.0107 0.0002 0.0002 0.0001 0.0002 0.0001 0.0217 0.0012 0.0065 0.0006 0.0325 0.0064 0.0005 0.0001 0.0005 0.0013 0.0071 0.0038 0.0052 0.0071 0.0091 0.0010 0.0008 0.0107 0.0003 0.0101 0.0005 0.0011 0.0001 0.0019 0.0003 0.0003 0.0015 0.0001 0.0003 0.0002 0.0001 0.0011 0.0011 0.0001 0.0023 0.0003 0.0068 0.0003 0.0001 0.0001 0.0001 0.0002 0.0001 0.0002 0.0001 0.0001"
"4036 4037 4038 4039 4134 4136 4137 4138 4139 4233 4236 4237 4238 4239 4240 4241 4333 4334 4335 4336 4337 4338 4339 4340 4341 4342 4433 4434 4435 4436 4437 4438 4439 4440 4441 4442 4530 4531 4532 4533 4534 4535 4536 4537 4538 4539 4540 4541 4542 4630 4631 4633 4634 4635 4636 4637 4638 4639 4640 4641 4642 4643 4644 4645 4731 4732 4733 4734 4735 4736 4737 4738 4739 4740 4741 4742 4743 4744 4829 4831 4833 4834 4835 4836 4837 4838 4839 4840 4841 4842 4843 4929 4934 4935 4936 4937 4938 4939 4940 4941 4942 5033 5034 5035 5036 5037 5038 5039 5040 5041 5136 5137 5138 5139 5140 5141 5142 5235 5236 5237 5238 5239 5240 5241 5242 5336 5337 5339 5341 5343 5439 5440 5441 5537 5539 5640 5737 5743 5838 5839 5840","32 70","4839","0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.0002 0.0012 0.0003 0.0002 0.0006 0.0044 0.0055 0.0014 0.0003 0.0000 0.0001 0.0008 0.0007 0.0047 0.0025 0.0165 0.0037 0.0014 0.0002 0.0000 0.0039 0.0014 0.0293 0.0031 0.0117 0.0148 0.0440 0.0035 0.0028 0.0007 0.0005 0.0001 0.0034 0.0007 0.0012 0.0061 0.0053 0.0020 0.0202 0.0272 0.0149 0.0008 0.0000 0.0003 0.0020 0.0041 0.0005 0.0556 0.0073 0.0554 0.0228 0.1151 0.0177 0.0070 0.0016 0.0019 0.0003 0.0002 0.0002 0.0023 0.0003 0.0128 0.0070 0.0208 0.0113 0.0555 0.0199 0.0199 0.0019 0.0012 0.0006 0.0003 0.0003 0.0038 0.0036 0.0009 0.0475 0.0033 0.0258 0.0061 0.0426 0.0049 0.0004 0.0001 0.0002 0.0006 0.0019 0.0045 0.0071 0.0021 0.0021 0.0107 0.0144 0.0006 0.0002 0.0007 0.0001 0.0151 0.0018 0.0191 0.0019 0.0266 0.0059 0.0029 0.0059 0.0042 0.0016 0.0045 0.0018 0.0014 0.0001 0.0002 0.0019 0.0016 0.0002 0.0068 0.0001 0.0008 0.0002 0.0007 0.0001 0.0020 0.0083 0.0001 0.0014 0.0030 0.0013 0.0003 0.0021 0.0001 0.0002 0.0004 0.0017 0.0001 0.0005"
