"state_no_vec","z","z_true","pr_post"
"283 284 308 309 310 333 334","8 11","308","0.00 0.00 0.99 0.01 0.00 0.00 0.00"
"283 284 308 309 310 333 334","7 11","308","0.01 0.00 0.99 0.00 0.00 0.00 0.00"
"283 284 308 309 310 333 334","9 12","310","0.00 0.00 0.01 0.09 0.90 0.00 0.00"
"284 285 308 309 310 334","9 11","310","0.00 0.00 0.00 0.00 1.00 0.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.17 0.83"
"284 285 308 309 310 334","10 11","310","0.00 0.00 0.00 0.00 1.00 0.00"
"285 308 309 310","10 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 11","310","0.00 0.00 0.01 0.98"
"285 308 309 310","10 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 11","310","0.00 0.00 0.00 1.00"
"285 308 309 310","9 12","310","0.00 0.00 0.00 1.00"
"285 308 309 310","10 11","285","0.82 0.00 0.00 0.18"
"234 235 259 260 283 284 285 286 287 310","9 10","285","0.00 0.00 0.01 0.00 0.00 0.09 0.87 0.00 0.00 0.02"
"208 234 235 259 260 283 284 285 286 287 310","9 11","285","0.00 0.00 0.00 0.00 0.00 0.00 0.08 0.85 0.00 0.00 0.07"
"234 235 259 260 283 284 285 286 287 310","9 10","285","0.00 0.00 0.00 0.00 0.00 0.13 0.85 0.00 0.00 0.01"
"234 235 259 260 283 284 285 286 287 309 310","8 10","285","0.00 0.00 0.00 0.00 0.03 0.72 0.24 0.00 0.00 0.00 0.00"
"234 259 283 284 285 286 288 308 309 310 331","10 11","285","0.00 0.00 0.01 0.27 0.71 0.00 0.00 0.00 0.01 0.01 0.00"
"234 259 260 283 284 285 286 287 308 309 310","9 11","285","0.00 0.00 0.00 0.00 0.15 0.82 0.00 0.00 0.00 0.00 0.02"
"234 235 259 260 283 284 285 286 287 309 310","7 12","284","0.00 0.00 0.00 0.00 0.16 0.40 0.12 0.00 0.00 0.15 0.17"
"234 259 283 284 285 286 288 308 309 310 331 334","7 11","284","0.00 0.00 0.38 0.35 0.04 0.00 0.00 0.17 0.03 0.02 0.00 0.00"
"259 282 283 284 285 286 308 309 310 333 334","9 10","284","0.09 0.00 0.21 0.65 0.03 0.00 0.01 0.00 0.00 0.00 0.00"
"208 259 260 283 284 285 286 288 308 309 310 331","6 11","284","0.00 0.01 0.00 0.36 0.36 0.02 0.00 0.00 0.23 0.02 0.00 0.01"
"259 282 283 284 285 286 308 309 310 333 334","8 10","284","0.00 0.00 0.12 0.84 0.01 0.00 0.02 0.00 0.00 0.00 0.00"
"259 283 284 285 286 288 308 309 310 331","7 11","283","0.00 0.46 0.52 0.01 0.00 0.00 0.02 0.00 0.00 0.00"
"259 282 283 284 285 286 308 309 310","9 11","283","0.00 0.00 0.08 0.91 0.01 0.00 0.00 0.00 0.00"
"259 283 284 285 286 288 308 309 310 331","7 12","308","0.00 0.02 0.28 0.02 0.00 0.00 0.37 0.16 0.02 0.14"
"259 283 284 285 286 288 308 309 310 331 333 334","7 12","308","0.00 0.00 0.03 0.00 0.00 0.00 0.84 0.11 0.01 0.00 0.00 0.00"
"282 283 284 285 308 309 310 333 334","6 11","308","0.02 0.01 0.00 0.00 0.97 0.00 0.00 0.00 0.00"
"256 257 258 282 283 284 308 309 310 333 334","9 13","334","0.00 0.00 0.00 0.00 0.00 0.00 0.69 0.04 0.00 0.10 0.18"
"283 284 308 309 310 333 334 358 359","9 14","359","0.00 0.00 0.01 0.01 0.01 0.01 0.74 0.00 0.23"
"235 308 309 310 333 334 359 360","10 13","360","0.00 0.00 0.00 0.07 0.00 0.13 0.01 0.79"
"308 310 333 334 335 359 360 361 385","9 14","385","0.00 0.00 0.00 0.02 0.00 0.26 0.47 0.00 0.24"
"235 308 310 334 335 359 360 361 384 385 411","10 17","411","0.00 0.00 0.00 0.00 0.00 0.01 0.18 0.02 0.01 0.27 0.51"
"308 310 334 335 338 359 360 361 362 384 385 411 412 415","15 15","415","0.00 0.00 0.00 0.00 0.02 0.00 0.03 0.02 0.02 0.00 0.01 0.05 0.04 0.81"
"310 311 338 339 359 360 361 362 385 387 411 412 415 463","12 18","463","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.12 0.06 0.01 0.80"
